Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,Log_Return,Rolling_Volatility,Rolling_Mean
Ticker,BND,BND,BND,BND,BND,,,,,
Date,,,,,,,,,,
2015-10-20,61.97774124145508,62.00799711548617,61.94748536742398,61.97774124145507,1348200,61.97774124145508,-0.0015834340122141688,-0.001584688968785253,0.0022999861791933533,61.75179913838704
2015-10-21,62.091148376464844,62.15922548617954,62.04576748379753,62.091148376464844,943500,62.091148376464844,0.0018298042609838916,0.0018281322085422068,0.0023153826198986137,61.7720443725586
2015-10-22,62.197059631347656,62.24244053341807,62.09116124199184,62.09116124199184,1101300,62.197059631347656,0.0017057383806249327,0.0017042852611065162,0.0022821400489898775,61.80009765625
2015-10-23,62.03822708129883,62.083613762972,62.023102034551805,62.083613762972,1367100,62.03822708129883,-0.0025536986955694285,-0.0025569649459478315,0.002324587047851322,61.81857884724935
2015-10-26,62.106327056884766,62.17439844835243,62.106327056884766,62.12901752070732,1512200,62.106327056884766,0.0010977098925908368,0.0010971078496254249,0.002329076665097493,61.838827260335286
2015-10-27,62.121429443359375,62.23488749179362,62.12142944335938,62.21976244500322,929400,62.121429443359375,0.00024316985386652057,0.00024314029286973758,0.002168618698727021,61.86813507080078
2015-10-28,61.947486877441406,62.1592722301036,61.93992146606974,62.1592722301036,2617300,61.947486877441406,-0.00280004126557587,-0.0028039687141790037,0.0022420257997676,61.89290059407552
2015-10-29,61.72809982299805,61.871813700978954,61.697843966017075,61.871813700978954,943200,61.72809982299805,-0.0035415004789040028,-0.0035477864372630208,0.0021234692948945188,61.898780059814456
2015-10-30,61.8642692565918,61.8642692565918,61.71298992042639,61.72812073940124,1474100,61.8642692565918,0.002205955375010893,0.0022035258277784257,0.002099103427643093,61.90341084798177
2015-11-02,61.742252349853516,61.802889390081155,61.70435853671107,61.72709598112982,2939200,61.742252349853516,-0.0019723324659699504,-0.0019742800749577554,0.002015900496698017,61.9115234375
2015-11-03,61.6360969543457,61.72705245054437,61.59062209757755,61.69673395181148,3997100,61.6360969543457,-0.001719331437834426,-0.0017208111844908584,0.0020167115533827615,61.912322998046875
2015-11-04,61.67403030395508,61.72708626013222,61.56791839160079,61.68918667029189,3594400,61.67403030395508,0.000615440488346719,0.0006152511825163704,0.002019682376604985,61.91438700358073
2015-11-05,61.56037521362305,61.67406827046786,61.47700069078145,61.65890611213171,1715400,61.56037521362305,-0.00184283546529862,-0.0018445355755781203,0.0020472739344239597,61.91190605163574
2015-11-06,61.317813873291016,61.40876366467084,61.264757900763676,61.37845092265577,1198700,61.317813873291016,-0.0039402186794721406,-0.003948001792598873,0.0021446796505365713,61.9051144917806
2015-11-09,61.26470947265625,61.34050283311593,61.20407247122341,61.21922883025025,2358300,61.26470947265625,-0.0008660517601704054,-0.000866426999662911,0.00208740955279174,61.891269302368165
2015-11-10,61.33290100097656,61.423856472337235,61.27226402006945,61.34048206925515,1421000,61.33290100097656,0.0011130637671716848,0.001112444770975702,0.002094536053936993,61.878187815348305
2015-11-11,61.34052658081055,61.370845093264634,61.2950517034619,61.34052658081055,1303500,61.34052658081055,0.00012433098238529006,0.00012432325392928398,0.0020555116304531353,61.861334482828774
2015-11-12,61.34809112548828,61.43904085568086,61.34809112548828,61.423884494869895,1263900,61.34809112548828,0.00012332050439400888,0.00012331290104569963,0.002051269368896721,61.843624114990234
2015-11-13,61.46178436279297,61.484527580252355,61.40115313089325,61.40115313089325,1583300,61.46178436279297,0.001853248165001986,0.0018515330193548543,0.001946424551177473,61.82188733418783
2015-11-16,61.46178436279297,61.545158812152074,61.431471638175104,61.484527580252355,949100,61.46178436279297,0.0,0.0,0.0018280047845485592,61.80821812947591
2015-11-17,61.529998779296875,61.57547364617488,61.363249890526,61.41630582943822,1155900,61.529998779296875,0.0011098671672344906,0.001109251720004395,0.0018215742724069584,61.79405008951823
2015-11-18,61.49972152709961,61.53762113002964,61.44666555259808,61.4921404499801,944100,61.49972152709961,-0.000492073018006467,-0.0004921941256648289,0.001821667377548612,61.77887280782064
2015-11-19,61.583038330078125,61.62093789749994,61.567881972706665,61.605775757466375,1085500,61.583038330078125,0.001354750898210133,0.0013538340511848354,0.001826068956198926,61.7697499593099
2015-11-20,61.56793212890625,61.63614446664004,61.54518890032817,61.63614446664004,1273800,61.56793212890625,-0.0002452980817689854,-0.0002453281722643063,0.0018261516767084907,61.76037623087565
2015-11-23,61.59065628051758,61.62855008796806,61.50728180839472,61.55275669040152,1647300,61.59065628051758,0.00036909070721669046,0.0003690226099971323,0.0017951177344623995,61.748230107625325
2015-11-24,61.6134033203125,61.658878209403866,61.58308480002943,61.6134033203125,1361900,61.6134033203125,0.00036932614731877145,0.0003692579632048256,0.0017919261116319334,61.73558184305827
2015-11-25,61.6209716796875,61.66644655939449,61.598228457168744,61.64370911954099,904600,61.6209716796875,0.00012283624937348137,0.0001228287056191593,0.0016387885796893763,61.71562232971191
2015-11-27,61.65126419067383,61.68916376644287,61.628526758277765,61.67400740573328,516000,61.65126419067383,0.000491594179069299,0.0004914733862365992,0.0016157348486593587,61.700706990559894
2015-11-30,61.6209716796875,61.681602925075055,61.590653165661095,61.64370911954099,6285200,61.6209716796875,-0.0004913526329750617,-0.0004914733862366029,0.0016162361707368345,61.68553822835286
2015-12-01,61.85417556762695,61.861766456158506,61.62632143110968,61.649105685847125,1780200,61.85417556762695,0.003784488974819755,0.0037773458128922558,0.0017757549605538119,61.67814292907715
2015-12-02,61.7781867980957,61.83135775638853,61.73261831335128,61.82376107740837,1413700,61.7781867980957,-0.0012285147903744464,-0.0012292700332842874,0.0017668136164769855,61.671491114298504
2015-12-03,61.299720764160156,61.63390521589733,61.276936514190844,61.63390521589733,2510600,61.299720764160156,-0.007744902509024376,-0.00777505002706813,0.002213417166640814,61.64511019388835
2015-12-04,61.54273986816406,61.550336546893305,61.36046014063854,61.4212219813364,3815200,61.54273986816406,0.003964440636506028,0.003956602949593085,0.0023240494655108568,61.62329953511556
2015-12-07,61.649085998535156,61.74022878295038,61.550352328012494,61.56553989479693,1543300,61.649085998535156,0.001728004482720591,0.0017265132006886378,0.0023154980646683263,61.610328165690106
2015-12-08,61.66425323486328,61.725009270830306,61.60349140432917,61.70982171048033,1687300,61.66425323486328,0.0002460253235301302,0.00024599506426315,0.0023041415181081267,61.59559237162272
