,VaR_95,Ann_Mean_Return,Ann_Std,Sharpe
TSLA,-0.05466309946643584,0.4606898041110372,0.5918872972913028,0.7445501975241802
BND,-0.00489969340960818,0.019599351790359945,0.05491861205810173,-0.007295308359375323
SPY,-0.017194888457630318,0.14484442879825116,0.1824070705202379,0.6844275742245164
